# The methodology's named roster, as a checked-in audit fixture.
#
# THIS IS NOT THE UNIVERSE. It is the *audit set*: a hand-named list used to
# measure whether the employer universe found firms we already know exist. It
# never gates ingestion, and a firm's absence from this file says nothing.
#
# Columns
#   hub       office city or region, as the methodology groups them
#   priority  focus | deprioritized -- reported separately so the deprioritized
#             hubs cannot drown out the ones that matter. The US moved to focus
#             when the board did: it is where the postings this project wants
#             actually are, and leaving its 79 firms -- Jane Street, Citadel,
#             HRT, Two Sigma, DE Shaw -- in the second section kept them off
#             the work queue that decides what to build next.
#   name      the roster name, verbatim where possible
#   aliases   '|'-separated alternative names; a match on any one counts
#   status    active | stale | absent
#               stale  -- the firm is gone; a miss is correct, not a bug
#               absent -- the roster entry never named a real firm
#   note      why, for anything not plainly active
#
# Prose entries in the methodology ("plus all bulge-bracket banks", "plus the
# DIFC/ADGM registers", "Optiver-adjacent market makers", "plus domestic quant
# funds via AMAC") are expanded into named firms where they name any, and
# dropped where they do not -- an unenumerable entry cannot be audited.
#
# A hub label is where the *office* is. Matching is on the firm, not the
# office: Optiver appears under five hubs and one match satisfies all five.
# Office-level presence is not verifiable until Layer 2 resolves careers feeds,
# so read a hub's hit rate as "these firms are in the universe", never as "we
# desks; everything below is smaller or HK-headquartered, and every one
# was verified against a register row before being written -- most carry
# an `sfc_hk` licensed-corporation entry, the enumeration that is complete
# by law. Names are deliberately long: a bare Sun Hung Kai is a property
# developer and a bare Income Partners matches two unrelated US funds, and
# a false hit hides a miss.
Hong Kong,focus,Susquehanna,Susquehanna Hong Kong|SIG,active,
Hong Kong,focus,Two Sigma,Two Sigma Asia Pacific,active,
Hong Kong,focus,Balyasny,Balyasny Asset Management,active,
Hong Kong,focus,Qube Research & Technologies,Qube Research,active,
Hong Kong,focus,Flow Traders,,active,
Hong Kong,focus,IMC,IMC Asia Pacific,active,SFC lists IMC Asia Pacific Limited; the Amsterdam line is the same group.
Hong Kong,focus,DRW,DRW Hong Kong,active,SFC lists DRW (Hong Kong) Limited.
Hong Kong,focus,Capula Investment Management,Capula Investment Management Asia,active,
Hong Kong,focus,Marshall Wace,Marshall Wace Asia,active,
Hong Kong,focus,Eclipse Trading,,active,HK-headquartered prop shop; carried by the seed registry.
Hong Kong,focus,Liquid Capital Group,Liquid Capital Markets,active,
Hong Kong,focus,Quantbot Technologies,,active,
Hong Kong,focus,Quantek Capital Research,,active,
Hong Kong,focus,Pandtong Quantitative Research,,active,
Hong Kong,focus,CASH Algo Finance Group,CASH Algo,active,
Hong Kong,focus,Segantii Capital Management,Segantii,active,
Hong Kong,focus,Oasis Management,,active,
Hong Kong,focus,Pinpoint Asset Management,,active,No relation to the Pinpoint ATS in ats.py.
Hong Kong,focus,Ortus Capital Management,Ortus Capital,active,
Hong Kong,focus,Dymon Asia Capital,Dymon Asia,active,
Hong Kong,focus,Nine Masts Capital,,active,
Hong Kong,focus,Athos Capital,,active,
Hong Kong,focus,Infini Capital Management,Infini Capital,active,
Hong Kong,focus,Polymer Capital Management,Polymer Capital,active,
Hong Kong,focus,Tairen Capital,,active,
Hong Kong,focus,Aspex Management,Aspex,active,
Hong Kong,focus,Triata Capital,,active,
Hong Kong,focus,Anatole Investment Management,Anatole Investment,active,
Hong Kong,focus,Overlook Investments,,active,
Hong Kong,focus,LIM Advisors,,active,
Hong Kong,focus,Gaoteng Global Asset Management,GaoTeng Global,active,
Hong Kong,focus,Greenwoods Asset Management Hong Kong,Greenwoods Asset Management,active,
Hong Kong,focus,Sun Hung Kai Capital Partners,,active,Specific: a bare "Sun Hung Kai" is the property developer.
Hong Kong,focus,First Seafront Asset Management,,active,
Hong Kong,focus,Trivest Advisors,,active,
Hong Kong,focus,Panview Capital,,active,
Hong Kong,focus,Ovata Capital Management,Ovata Capital,active,
Hong Kong,focus,Yunqi Capital,,active,
Hong Kong,focus,Keywise Capital Management,Keywise Capital,active,
Hong Kong,focus,Blue Pool Capital,,active,
Hong Kong,focus,Janchor Partners,,active,
Hong Kong,focus,Income Partners Asset Management,,active,Specific: a bare "Income Partners" matches Energy Income Partners and Tetragon Credit Income Partners.
# ── Singapore ────────────────────────────────────────────────────────────────
Singapore,focus,Optiver,,active,
Singapore,focus,Jane Street,,active,
Singapore,focus,Flow Traders,,active,
Singapore,focus,Jump Trading,Jump Trading Europe,active,
Singapore,focus,Tower Research Capital,Tower Research|Latour Trading,active,
Singapore,focus,GIC,GIC Private,active,Sovereign wealth fund; appears in no financial register anywhere. Carried by the seed registry.
Singapore,focus,Temasek,,active,Sovereign wealth fund; appears in no financial register anywhere. Carried by the seed registry.
Singapore,focus,DBS,DBS Bank,active,
Singapore,focus,Grasshopper Asset Management,,active,Named for the MAS-licensed entity rather than a bare "Grasshopper" -- that matched an unrelated GRASSHOPPER ESCAPEMENT LLC and reported Singapore as covered when it was not.
Singapore,focus,Vivienne,Vivienne Court Trading,active,
# ── London ───────────────────────────────────────────────────────────────────
London,deprioritized,Jane Street,,active,
London,deprioritized,Citadel,Citadel Advisors,active,Separate employer from Citadel Securities; separate careers page.
London,deprioritized,Citadel Securities,,active,
London,deprioritized,Man AHL,AHL Partners|Man Group|Man Investments,active,
London,deprioritized,Marshall Wace,,active,
London,deprioritized,GSA,GSA Capital,active,
London,deprioritized,Squarepoint,Squarepoint Capital|Squarepoint Ops,active,
London,deprioritized,Qube,Qube Research & Technologies,active,
London,deprioritized,XTX Markets,XTX,active,
London,deprioritized,G-Research,G Research,active,MISS: no UK register ingested. FCA is deferred with the deprioritized regions and needs credentials.
London,deprioritized,Millennium,Millennium Management,active,
London,deprioritized,Balyasny,Balyasny Asset Management,active,
London,deprioritized,Point72,Point72 Asset Management,active,
London,deprioritized,DRW,DRW Trading,active,
London,deprioritized,Jump Trading,Jump Trading Europe,active,
London,deprioritized,Optiver,,active,
London,deprioritized,Quadrature,Quadrature Capital,active,
London,deprioritized,Aspect,Aspect Capital,active,
London,deprioritized,Winton,Winton Capital|Winton Group,active,
London,deprioritized,Goldman Sachs,,active,Bulge bracket.
London,deprioritized,Morgan Stanley,,active,Bulge bracket.
London,deprioritized,JPMorgan,J.P. Morgan|JP Morgan|JPMorgan Chase,active,Bulge bracket.
London,deprioritized,Bank of America,BofA Securities|Merrill Lynch,active,Bulge bracket.
London,deprioritized,Citigroup,Citibank|Citigroup Global Markets,active,Bulge bracket.
London,deprioritized,Barclays,Barclays Capital,active,Bulge bracket.
London,deprioritized,Deutsche Bank,,active,Bulge bracket.
London,deprioritized,UBS,UBS Securities,active,Bulge bracket.
London,deprioritized,HSBC,,active,Bulge bracket.
London,deprioritized,BNP Paribas,,active,Bulge bracket.
London,deprioritized,Société Générale,Societe Generale,active,Bulge bracket.
London,deprioritized,Nomura,,active,Bulge bracket.
# ── Frankfurt ────────────────────────────────────────────────────────────────
Frankfurt,deprioritized,Deutsche Bank,,active,
Frankfurt,deprioritized,DWS,DWS Group|DWS Investment,active,
Frankfurt,deprioritized,Commerzbank,,active,
Frankfurt,deprioritized,DekaBank,Deka Investment,active,
Frankfurt,deprioritized,Deutsche Börse,Deutsche Boerse|Eurex,active,
Frankfurt,deprioritized,Union Investment,,active,
# ── Shanghai ─────────────────────────────────────────────────────────────────
Shanghai,deprioritized,Optiver,,active,
Shanghai,deprioritized,Flow Traders,,active,
Shanghai,deprioritized,Tower Research Capital,Tower Research,active,
Shanghai,deprioritized,Ubiquant,九坤|Ubiquant Investment,active,Reached through its Hong Kong entity in sfc_hk. The mainland entity still needs AMAC.
Shanghai,deprioritized,High-Flyer,幻方|High Flyer Quant,active,Reached through its Hong Kong entity in sfc_hk. The mainland entity still needs AMAC.
Shanghai,deprioritized,Mingshi,明汯|Minghong,active,Domestic; needs AMAC, which is deferred.
Shanghai,deprioritized,Lingjun,灵均|Lingjun Investment,active,Domestic; needs AMAC, which is deferred.
Shanghai,deprioritized,Zhicheng,致诚,active,MISS: domestic-only; needs AMAC, which is deferred with the deprioritized regions.
Shanghai,deprioritized,Tianyan,天演|Tianyan Capital,active,Domestic; needs AMAC, which is deferred.
# ── US ───────────────────────────────────────────────────────────────
US,focus,Jane Street,,active,
US,focus,Citadel,Citadel Advisors,active,
US,focus,Citadel Securities,,active,
US,focus,Hudson River Trading,HRT Financial|HRT,active,
US,focus,Two Sigma,,active,
US,focus,DE Shaw,D. E. Shaw|D E Shaw,active,
US,focus,Renaissance Technologies,Renaissance Technologies LLC,active,
US,focus,Jump Trading,Jump Trading Europe,active,
US,focus,DRW,DRW Trading|DRW Holdings,active,
US,focus,IMC,IMC Chicago|IMC Financial Markets,active,
US,focus,Optiver,,active,
US,focus,Susquehanna,SIG|Susquehanna International Group,active,
US,focus,Old Mission,Old Mission Capital,active,
US,focus,Belvedere,Belvedere Trading,active,
US,focus,Peak6,PEAK6 Investments,active,
US,focus,Akuna,Akuna Capital,active,
US,focus,Wolverine,Wolverine Trading,active,
US,focus,Group One,Group One Trading,active,
US,focus,CTC,Chicago Trading Company,active,
US,focus,Transmarket,TransMarket Group,active,MISS: US hub is deprioritized; not chased.
US,focus,XR Trading,,active,
US,focus,Tower Research Capital,Tower Research|Latour Trading,active,
US,focus,Virtu Financial,Virtu,active,
US,focus,Millennium,Millennium Management,active,
US,focus,Point72,Point72 Asset Management,active,
US,focus,Balyasny,Balyasny Asset Management,active,
US,focus,ExodusPoint,ExodusPoint Capital,active,
US,focus,Schonfeld,Schonfeld Strategic Advisors,active,
US,focus,Verition,Verition Fund Management,active,
US,focus,Squarepoint,Squarepoint Capital|Squarepoint Ops,active,
US,focus,PDT,PDT Partners,active,
US,focus,Voleon,The Voleon Group|Voleon Capital,active,
US,focus,Qube,Qube Research & Technologies,active,
US,focus,Goldman Sachs,,active,Bulge bracket.
US,focus,Morgan Stanley,,active,Bulge bracket.
US,focus,JPMorgan,J.P. Morgan|JP Morgan|JPMorgan Chase,active,Bulge bracket.
US,focus,Bank of America,BofA Securities|Merrill Lynch,active,Bulge bracket.
US,focus,Citigroup,Citibank|Citigroup Global Markets,active,Bulge bracket.
# Switzerland, widened. Private banks, cantonal banks, insurers and the
# two Swiss systematic managers (Quantica, RAM). Every name was checked
# against the registers first, and one was thrown out on that check:
# `Swiss National Bank` matched a FINMA *prose* row -- the sentence
# beginning "In the case of SIX Repo AG Zurich, FINMA's supervision is
# limited" -- rather than any firm.
Switzerland,focus,Partners Group,,active,
Switzerland,focus,LGT Capital Partners,,active,
Switzerland,focus,Quantica Capital,,active,Zurich systematic CTA.
Switzerland,focus,RAM Active Investments,,active,Geneva systematic equity.
Switzerland,focus,Union Bancaire Privee,UBP,active,
Switzerland,focus,Banque Syz,Syz Group,active,
Switzerland,focus,Mirabaud,,active,
Switzerland,focus,J. Safra Sarasin,Bank J. Safra Sarasin,active,
Switzerland,focus,Edmond de Rothschild,,active,
Switzerland,focus,Banque Cantonale Vaudoise,BCV,active,
Switzerland,focus,Basler Kantonalbank,,active,
Switzerland,focus,Luzerner Kantonalbank,,active,
Switzerland,focus,Zuger Kantonalbank,,active,
Switzerland,focus,Raiffeisen Schweiz,,active,
Switzerland,focus,PostFinance,,active,
Switzerland,focus,Swiss Life,,active,
Switzerland,focus,Baloise,,active,
Switzerland,focus,Helvetia,,active,
Switzerland,focus,Fisch Asset Management,,active,
Switzerland,focus,VP Bank,,active,
Switzerland,focus,Reyl,REYL Intesa Sanpaolo,active,
Switzerland,focus,Bordier,Bordier & Cie,active,
Switzerland,focus,Swisscanto,,active,
Switzerland,focus,BlueOrchard,BlueOrchard Finance,active,
Switzerland,focus,Schroder Investment Management Switzerland,,active,
Switzerland,focus,Vitol,,active,Geneva commodity trader; runs a quantitative desk.
Switzerland,focus,EFG International,,active,"Not in any register we hold -- a real gap, not a dead firm."
Switzerland,focus,Bellevue Group,,active,Not in any register we hold.
Switzerland,focus,SIX Group,SIX Swiss Exchange,active,"Not in any register we hold; it is the exchange operator, not a licensee."
Switzerland,focus,Corner Bank,Corner Banca,active,Not in any register we hold.
# London, widened. The macro and systematic funds, the large UK asset
# managers, the remaining UK banks, and the London desks of firms already
# on other hubs. Two names were tightened after seeing what they matched:
# a bare `M&G` hits 120 fund rows and a bare `Insight Investment` also
# matches Insight Investment Counsel, an unrelated firm.
London,deprioritized,Brevan Howard,,active,
London,deprioritized,Rokos Capital Management,,active,
London,deprioritized,Capula Investment Management,Capula,active,
London,deprioritized,Cheyne Capital,,active,
London,deprioritized,CQS,,active,
London,deprioritized,Eisler Capital,,active,
London,deprioritized,Caxton Associates,,active,
London,deprioritized,Egerton Capital,,active,
London,deprioritized,Lansdowne Partners,,active,
London,deprioritized,Florin Court Capital,,active,
London,deprioritized,Systematica Investments,,active,The UK LLP; the Switzerland line is the same group.
London,deprioritized,Record Currency Management,,active,
London,deprioritized,Mako,Mako Global|Mako Financial Markets,active,Same firm as the Amsterdam line.
London,deprioritized,OSTC,,active,
London,deprioritized,Schroders,,active,
London,deprioritized,Legal & General,LGIM|Legal & General Investment Management,active,
London,deprioritized,M&G Investments,,active,Specific: a bare M&G matches 120 fund rows.
London,deprioritized,Abrdn,Aberdeen,active,
London,deprioritized,Baillie Gifford,,active,
London,deprioritized,BlackRock,,active,
London,deprioritized,Insight Investment Management,,active,Specific: a bare Insight Investment also matches Insight Investment Counsel.
London,deprioritized,Aviva Investors,,active,
London,deprioritized,Janus Henderson,,active,
London,deprioritized,Ninety One,,active,
London,deprioritized,Standard Chartered,,active,
London,deprioritized,NatWest,NatWest Markets,active,
London,deprioritized,Lloyds,Lloyds Bank,active,
London,deprioritized,Nomura International,,active,
London,deprioritized,Glencore,Glencore Energy,active,Commodity trader; runs a quantitative desk.
London,deprioritized,Hudson River Trading,HRT Financial,active,
London,deprioritized,Five Rings,Five Rings Capital,active,
London,deprioritized,Flow Traders,,active,
London,deprioritized,IMC,IMC Trading|IMC Financial Markets,active,
London,deprioritized,Virtu Financial,,active,
London,deprioritized,Tower Research Capital,Tower Research,active,
London,deprioritized,LSEG,London Stock Exchange Group,active,
London,deprioritized,BlueCrest Capital Management,BlueCrest,active,Not in any register we hold.
London,deprioritized,Maven Securities,Maven Derivatives,active,Not in any register we hold.
# US, widened. The Chicago and New York prop shops, the quantitative
# asset managers, the custodians and the fund complexes. `Fidelity` is
# written as `Fidelity Management & Research` because the bare name spans
# three unrelated groups.
US,focus,Bridgewater Associates,,active,
US,focus,AQR Capital Management,,active,"No bare ""AQR"" alias -- it matches LUMYNA - AQR GLOBAL RELATIVE VALUE UCITS FUND and pulled the firm onto lumyna.com, a UCITS platform hosting other managers' strategies."
US,focus,Acadian Asset Management,,active,
US,focus,Numeric Investors,Man Numeric,active,
US,focus,Dimensional Fund Advisors,,active,
US,focus,Vatic Investments,,active,
US,focus,Walleye Capital,,active,
US,focus,Hudson Bay Capital,,active,
US,focus,Element Capital Management,,active,
US,focus,Garda Capital,Garda Capital Partners,active,
US,focus,Lighthouse Investment Partners,,active,
US,focus,Freestone Grove Partners,,active,
US,focus,Brevan Howard,,active,
US,focus,Quantlab,Quantlab Financial,active,
US,focus,Allston Trading,,active,
US,focus,Tradebot Systems,,active,
US,focus,DV Trading,,active,
US,focus,Marquette Partners,,active,
US,focus,Sumo Capital,,active,
US,focus,Valkyrie Trading,,active,
US,focus,Volant Trading,,active,
US,focus,Simplex Trading,,active,
US,focus,Consolidated Trading,,active,
US,focus,Headlands Technologies,,active,
US,focus,Eagle Seven,,active,
US,focus,Radix Trading,,active,
US,focus,Five Rings,Five Rings Capital,active,
US,focus,Wells Fargo,,active,
US,focus,Jefferies,,active,
US,focus,BNY Mellon,,active,
US,focus,State Street,,active,
US,focus,Northern Trust,,active,
US,focus,Fidelity Management & Research,FMR,active,Specific: a bare Fidelity matches funds across three groups.
US,focus,Vanguard,,active,
US,focus,PIMCO,,active,
US,focus,Invesco,,active,
US,focus,Franklin Templeton,,active,
US,focus,Neuberger Berman,,active,
US,focus,Magnetar Capital,,active,Not in any register we hold.
US,focus,Teza Technologies,,active,Not in any register we hold.
US,focus,Gelber Group,,active,Not in any register we hold.
